Season,PER,Player
1997-98,24.562875106503014,Tim Duncan
1998-99,25.413101096027532,Tim Duncan
1999-00,26.372180793174934,Tim Duncan
2000-01,25.642172117523092,Tim Duncan
2001-02,27.865752618878354,Tim Duncan
2002-03,28.057775523487127,Tim Duncan
2003-04,28.165510996387354,Tim Duncan
2004-05,27.454160237853387,Tim Duncan
2005-06,25.31359581911707,Tim Duncan
2006-07,26.872537045575317,Tim Duncan
2007-08,25.5113262823477,Tim Duncan
2008-09,24.97571730699192,Tim Duncan
2009-10,25.56213293721621,Tim Duncan
2010-11,23.9547612963134,Tim Duncan
2011-12,25.267636956750348,Tim Duncan
2012-13,27.124929222924326,Tim Duncan
2013-14,24.784773929146727,Tim Duncan
2014-15,24.03499756681564,Tim Duncan
2015-16,18.671742563255833,Tim Duncan
2012-13,21.973183897020636,Anthony Davis
2013-14,25.556297480294905,Anthony Davis
2014-15,27.65868246066422,Anthony Davis
2015-16,25.42752899169339,Anthony Davis
2016-17,28.782411502464907,Anthony Davis
2017-18,28.98176057406029,Anthony Davis
2018-19,30.431004291736357,Anthony Davis
2019-20,26.625441072548966,Anthony Davis
2020-21,22.576514187105285,Anthony Davis
2021-22,24.637386711412045,Anthony Davis
2022-23,28.760930649205456,Anthony Davis
2023-24,28.004991044364157,Anthony Davis
